,epochs,dropout,filters,kernels,lstm_unit,nn_units,batch_size,learning_rate,acc_mean,sacc_mean
92,5,0.5,64,3,128,128,64,0.01,0.39941121009679653,0.7022184862302941
93,5,0.5,64,3,128,128,64,0.001,0.5986617654146933,0.843691955421193
94,5,0.5,64,3,128,128,128,0.01,0.4449331727767341,0.7239376763564636
95,5,0.5,64,3,128,128,128,0.001,0.595630625234568,0.8382784302755909
96,5,0.5,128,2,32,64,64,0.01,0.38169209622041644,0.643786209779877
97,5,0.5,128,2,32,64,64,0.001,0.523788732733894,0.7986641362831522
98,5,0.5,128,2,32,64,128,0.01,0.41290273897305546,0.6767984568596691
99,5,0.5,128,2,32,64,128,0.001,0.5311172825293651,0.7969442795318825
100,5,0.5,128,2,32,128,64,0.01,0.38166574353393284,0.7042219722547237
101,5,0.5,128,2,32,128,64,0.001,0.5357782624478075,0.8072023830801712
102,5,0.5,128,2,32,128,128,0.01,0.38853354007279495,0.681439343900116
103,5,0.5,128,2,32,128,128,0.001,0.5426586421391681,0.8070794779435979
104,5,0.5,128,2,64,64,64,0.01,0.39867654214843884,0.6978034805066465
105,5,0.5,128,2,64,64,64,0.001,0.5655530401058538,0.8201074271566435
106,5,0.5,128,2,64,64,128,0.01,0.4049074166749458,0.6707245147275174
107,5,0.5,128,2,64,64,128,0.001,0.5747869934247606,0.8216522699969304
108,5,0.5,128,2,64,128,64,0.01,0.374121450611731,0.6481476922551023
109,5,0.5,128,2,64,128,64,0.001,0.5686948171174482,0.8287352608888864
110,5,0.5,128,2,64,128,128,0.01,0.4073329763961966,0.668544602628475
111,5,0.5,128,2,64,128,128,0.001,0.5661684203992591,0.8249536063657027
112,5,0.5,128,2,128,64,64,0.01,0.40616486986328576,0.7478551511487561
113,5,0.5,128,2,128,64,64,0.001,0.5847320184075516,0.8434925484325234
114,5,0.5,128,2,128,64,128,0.01,0.4090087272497283,0.6789687413632066
115,5,0.5,128,2,128,64,128,0.001,0.5763545224320388,0.8363354277583289
116,5,0.5,128,2,128,128,64,0.01,0.38942881427046494,0.705059557988386
117,5,0.5,128,2,128,128,64,0.001,0.5847106001207942,0.8362017724113255
118,5,0.5,128,2,128,128,128,0.01,0.4181707736632953,0.7064771165928412
119,5,0.5,128,2,128,128,128,0.001,0.5863806191460311,0.8350867462842443
120,5,0.5,128,3,32,64,64,0.01,0.3768292659681421,0.6137145625078297
121,5,0.5,128,3,32,64,64,0.001,0.5139849162587969,0.7895314339817533
122,5,0.5,128,3,32,64,128,0.01,0.39019669570207877,0.6401942317223114
123,5,0.5,128,3,32,64,128,0.001,0.5348071220998247,0.8083927362875354
124,5,0.5,128,3,32,128,64,0.01,0.3640128034061276,0.6337053378788686
125,5,0.5,128,3,32,128,64,0.001,0.5303287797197265,0.7986522195027669
126,5,0.5,128,3,32,128,128,0.01,0.3838596030086639,0.6856218481365436
127,5,0.5,128,3,32,128,128,0.001,0.5339297875035287,0.8058193404949457
128,5,0.5,128,3,64,64,64,0.01,0.3874633775334386,0.6554375285281608
129,5,0.5,128,3,64,64,64,0.001,0.5707638197021102,0.8273838348504355
130,5,0.5,128,3,64,64,128,0.01,0.40098360263281335,0.6352884413488107
131,5,0.5,128,3,64,64,128,0.001,0.562421365473397,0.8283804357884043
132,5,0.5,128,3,64,128,64,0.01,0.378527933680372,0.6241488785936156
133,5,0.5,128,3,64,128,64,0.001,0.5533803746773394,0.8170411572618995
134,5,0.5,128,3,64,128,128,0.01,0.3996130320706816,0.6609872977467565
135,5,0.5,128,3,64,128,128,0.001,0.5608902639226674,0.8238539524272849
136,5,0.5,128,3,128,64,64,0.01,0.370611413913393,0.6821227491939467
137,5,0.5,128,3,128,64,64,0.001,0.580792693264999,0.8349495261323444
138,5,0.5,128,3,128,64,128,0.01,0.4204621638041262,0.6686317156059666
139,5,0.5,128,3,128,64,128,0.001,0.5911045551431436,0.8390355960947545
140,5,0.5,128,3,128,128,64,0.01,0.3899722130909306,0.679135335893287
141,5,0.5,128,3,128,128,64,0.001,0.5811420475526653,0.8305337021866844
142,5,0.5,128,3,128,128,128,0.01,0.41390096590056763,0.6846188057940111
143,5,0.5,128,3,128,128,128,0.001,0.5761776918094255,0.8296297034065651
