,epochs,dropout,filters,kernels,lstm_unit,nn_units,batch_size,learning_rate,acc_mean,sacc_mean
80,3,0.5,64,3,64,64,64,0.01,0.47812269725646267,0.7745329391412993
81,3,0.5,64,3,64,64,64,0.001,0.5735245823606632,0.8653020868010198
82,3,0.5,64,3,64,64,128,0.01,0.5373083282330358,0.8269838000472022
83,3,0.5,64,3,64,64,128,0.001,0.5785441542615275,0.8537992802272104
84,3,0.5,64,3,64,128,64,0.01,0.4841493825147954,0.7796018795090053
85,3,0.5,64,3,64,128,64,0.001,0.5704916562694137,0.8656661423401704
86,3,0.5,64,3,64,128,128,0.01,0.5224859296134188,0.8333202735864904
87,3,0.5,64,3,64,128,128,0.001,0.5796748958375275,0.8572391489362584
88,3,0.5,64,3,128,64,64,0.01,0.4933888475312684,0.7851752930377076
89,3,0.5,64,3,128,64,64,0.001,0.5948255624924931,0.870229822748669
90,3,0.5,64,3,128,64,128,0.01,0.5471280162748569,0.8439254194176579
91,3,0.5,64,3,128,64,128,0.001,0.5798412556754627,0.8653088426601859
92,3,0.5,64,3,128,128,64,0.01,0.5228028532479744,0.8247824961466826
93,3,0.5,64,3,128,128,64,0.001,0.5845861798279006,0.8678957672702253
94,3,0.5,64,3,128,128,128,0.01,0.5423866100879282,0.8405295908718576
95,3,0.5,64,3,128,128,128,0.001,0.5919415419752144,0.8672635977571801
96,3,0.5,128,2,32,64,64,0.01,0.4238206785248013,0.7231550206551556
97,3,0.5,128,2,32,64,64,0.001,0.5600344541656156,0.8542660109823198
98,3,0.5,128,2,32,64,128,0.01,0.4779286335446366,0.7744477990537476
99,3,0.5,128,2,32,64,128,0.001,0.5716256639106598,0.8406526241432083
100,3,0.5,128,2,32,128,64,0.01,0.43327260845585186,0.7412437218478084
101,3,0.5,128,2,32,128,64,0.001,0.5680090399079563,0.8573406630982063
102,3,0.5,128,2,32,128,128,0.01,0.4717316661049151,0.7340534016319209
103,3,0.5,128,2,32,128,128,0.001,0.5705810723360646,0.8547166447533222
104,3,0.5,128,2,64,64,64,0.01,0.44214146359421846,0.7244721161508947
105,3,0.5,128,2,64,64,64,0.001,0.5829689881367454,0.869069466507104
106,3,0.5,128,2,64,64,128,0.01,0.49123033755645623,0.7838682688154258
107,3,0.5,128,2,64,64,128,0.001,0.5858702342014663,0.8618674609055209
108,3,0.5,128,2,64,128,64,0.01,0.43938042992507825,0.7155382307861601
109,3,0.5,128,2,64,128,64,0.001,0.588493098124227,0.8640673014717141
110,3,0.5,128,2,64,128,128,0.01,0.5044846190031009,0.8101100269474264
111,3,0.5,128,2,64,128,128,0.001,0.5737473085049032,0.8577141174429993
112,3,0.5,128,2,128,64,64,0.01,0.4665288028230623,0.7660040040137543
113,3,0.5,128,2,128,64,64,0.001,0.5864310103314558,0.8706150818531319
114,3,0.5,128,2,128,64,128,0.01,0.5227044414161017,0.8199851605220688
115,3,0.5,128,2,128,64,128,0.001,0.5862456609754757,0.868127153739934
116,3,0.5,128,2,128,128,64,0.01,0.45838881513254764,0.7555889429012653
117,3,0.5,128,2,128,128,64,0.001,0.5932110624838274,0.8748651017107584
118,3,0.5,128,2,128,128,128,0.01,0.5134758600792994,0.8223743983755814
119,3,0.5,128,2,128,128,128,0.001,0.587301501485123,0.8701696086937121
120,3,0.5,128,3,32,64,64,0.01,0.41934141864406543,0.6598374360872535
121,3,0.5,128,3,32,64,64,0.001,0.5593522894166342,0.8503211869071814
122,3,0.5,128,3,32,64,128,0.01,0.45587820685593616,0.6941989908776266
123,3,0.5,128,3,32,64,128,0.001,0.5675102649872673,0.8490738315039664
124,3,0.5,128,3,32,128,64,0.01,0.43550913673490627,0.7182725359425716
125,3,0.5,128,3,32,128,64,0.001,0.5667103773811523,0.8484159875581868
126,3,0.5,128,3,32,128,128,0.01,0.45640888174044986,0.6900166681010771
127,3,0.5,128,3,32,128,128,0.001,0.5641801916334483,0.848510702781565
128,3,0.5,128,3,64,64,64,0.01,0.44375368390550407,0.6989992190361782
129,3,0.5,128,3,64,64,64,0.001,0.5767024973390401,0.8658905919949266
130,3,0.5,128,3,64,64,128,0.01,0.46936636688512373,0.7574510818229908
131,3,0.5,128,3,64,64,128,0.001,0.5833068389150856,0.8629949490112878
132,3,0.5,128,3,64,128,64,0.01,0.43178678556622124,0.6991922927298136
133,3,0.5,128,3,64,128,64,0.001,0.5738150231688416,0.8664899208750009
134,3,0.5,128,3,64,128,128,0.01,0.47420537918532935,0.7736810042873822
135,3,0.5,128,3,64,128,128,0.001,0.5724975302335614,0.8642485060930903
136,3,0.5,128,3,128,64,64,0.01,0.4345744097602471,0.7304725459618489
137,3,0.5,128,3,128,64,64,0.001,0.5873469101857175,0.8703220232885037
138,3,0.5,128,3,128,64,128,0.01,0.4818196007026499,0.7912018679224849
139,3,0.5,128,3,128,64,128,0.001,0.5976945307429946,0.8678832349813557
140,3,0.5,128,3,128,128,64,0.01,0.4477795935049677,0.7264543600870089
141,3,0.5,128,3,128,128,64,0.001,0.5877530311460982,0.871974923931819
142,3,0.5,128,3,128,128,128,0.01,0.5112289376820478,0.8029749342480264
143,3,0.5,128,3,128,128,128,0.001,0.5825918186253193,0.8672331872929856
